標題,日期,內文,讚數,留言數
丹妮婊姐星球,2022年12月5日,喔年底到了，每年這時候我都在煩惱到底要送男友什麼，男生禮物有夠難送，因為他生日跟聖誕節同一個月分，所以下流如我就想就合在一起送一個就好哈哈哈哈哈哈哈哈阿。我會如此煩惱是因為我送過一些東西，我看他也是完全沒在用，就是不喜歡，只是基於禮貌不說而已哈哈哈哈哈!不~~~~~~~~~~~~~~~ 我今年就想說送他電視好了，因為為他的居家生活增添樂趣，誰知道我倆有天聊天，就聊到他為何現在沒買電視，他大概給了我八百種原因，我只好默默去把購物車刪除..... 我後來受夠，毫無美感的直接問:what do you need? 你需要什麼 他說:我真的不缺什麼啊，你不要在那煩惱禮物了，我該買的都買好了。 我下一句問: what do you want? 你想要什麼 喔這句問對了哈哈哈哈哈哈哈哈哈阿，總算給我看了他購物車清單，我挑了一樣結帳送他，毫無驚喜，毫無美感!!!!我的浪漫在哪!!!!!! 而且我也沒有買得很開心，因為那是什麼打電動用的3D眼鏡，對我這金牛座實用大王來說就是我不懂! 我就又想到，啊他最近看感冒醫生，真的隨隨便便噴了美金90元(天啊台灣健保萬歲!!!!!)，所以我又想到那看牙齒肯定貴爆…我想說送他新的電動牙刷，我逛美國Amazon ，跳出amazon Choice，其中電動牙刷是 Oral-B iO9微磁電動牙刷* 這標籤是亞馬遜會挑出評價好價格目前優秀的產品 我看他原本那隻Oral-B 有點舊(不知道什麼型號)，我就想說太好了就買這隻，我自己的iO9 服役一年多超棒，(最近iO7有出新色喔是很美的星空藍)，有了電動牙刷後我真的連出國也帶，我完全不想用手動方式刷牙!! 超級方便省力!! 尤其是出去玩的時候超累就會很懶，電動牙刷真的是救星，而且iO9還有超方便旅行充電盒！ Oral-B iO 系列真的是全球賣超好，熱銷到每17秒就賣出一隻~!!!貴的電動牙刷到便宜的我都有買過來用，因為一開始我也不懂，第一次入手便宜的電動牙刷，真的就是大震特震到腦漿都在晃動那樣，就粗暴大力有夠像按摩棒哈哈哈哈哈哈，後來我用到 Oral-B iO9，我才知道喔~~~~~~~~~~~媽啊，原來震動可以這樣細膩優雅，真的只是專心在清潔牙齒，我的腦漿完全沒有晃動!而且機身設計就是很走質感生活的高級路線 Oral-B iO9幾大亮點整理一下，我真的超愛這系列牙刷，超簡單牙齒刷很乾淨 ● Oral-B 特有小圓刷頭 是根據牙醫師所使用的牙科工具設計，能深入後齒平常刷不到的死角，完整包覆整顆牙齒一顆一顆清潔，達到多清除最高達 100% 牙菌斑的清潔效果+ ● 全球首創^刷毛微震的磁驅動力 比起一般震動方式，這款將能量精準集中至刷毛，跟你說，全集中水之呼吸啦，(不像我之前他牌震到腦子)讓3700根刷毛每一根都在專心微震，溫和呵護牙齦這樣! ● 3重智能壓力感應燈 這功能超棒!就根據刷牙力道不同，有三種不同顏色的燈 白-沒吃飯太小力 綠-剛好 紅-太大力了刷馬桶啦 因為我也是以前都為了把牙齒刷乾淨刷很大力，後來我用Oral-B後一天到晚吃紅牌哈哈哈哈哈，我才知道我以前都刷太大力了，超傷牙齒牙齦!!! ● 16區 A.I. 智能偵測  用3D追蹤偵測搭配AI識別技術，手機 APP 就能專業顯示，有沒有認真刷牙馬上知道!!! ●7大清潔模式搭配互動式螢幕 同時可隨意切換日常清潔、深層清潔、敏感專用、輕柔呵護、鑽白拋光、牙齦呵護、舌苔清潔，7種不同清潔模式你就隨心所欲把嘴巴刷到最ber 亮這樣，還有互動式螢幕給你刷好牙的肯定笑臉，真的是一刷就WOW 不愧是94%受訪牙醫師認為Oral-B iO是目前市面上最好的電動牙刷# 這支牙刷我用了一年多，使用上都很順手，除了刷牙很乾淨之外，(我真的徹底大大降低蛀牙率)真的是時尚儀式感，因為機身整隻做的很像精品一樣，沉浸式回家的一環啊~~~(只可惜我廁所太醜，配不上這支) 有預算考量可以考慮最新出的iO7星空藍，顏色超美，也是送禮好選擇!! 現在入手頂規^iO9 還加碼送四年保固 !!  年底前購買iO系列送半年份刷頭 有興趣的這兒逛：https://reurl.cc/kqnKob #OralBiO #一刷就WOW 年底前購買iO7送半年份刷頭 大家以實際通路公告為準喔！~基於P&G於2020年6月到2022年6月區間在全球35個國家或地區的iO系列電動牙刷總銷售量計算，P&G銷售數據 ^指Oral-B品牌內 #根據P&G委託獨立試場機構於 2020/11~2022/2針對台灣 367 位牙醫師的抽樣調查結果 *iO 微震科技電動牙刷別名 +P&G 實驗室數據，對比普通手動牙刷，根據 55 名受訪者的調查結果,"2,591",55則留言
丹妮婊姐星球,2022年11月22日,今天被兩位名媛跟魔獸歐巴合照洗版，我發誓我真的很想要認真看他們的臉，但真的是靈魂被魔獸歐巴的褲襠給吸走，我完全沒辦法控制自己，馬啊那是大佛嗎?! 因為我男友是美國黑人，我想說他們同種族，所以我真的傳那張片問他:ㄟ那是老二嗎? 他回:對 沒想到下一句補:或許P圖的啦 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈靠，他寧可羞辱整個黑人種族，也不肯認輸!!!!這不是你們種族嗎!!!!!!!! 馬的雖然他當然不知道賈永婕，但這一看也知道是台灣哪個女粉絲跟魔獸照相，哪個女粉絲跟男明星照像，還幫他修老二，修好才發給媒體啦!!!!!!!!!!!!!!!!!!!!!!!! 到底誰會把NBA球星當假想敵啦!!也太瞧得起我!!!!!!!!,1.6 萬,758則留言
丹妮婊姐星球,2023年9月22日,自從 紀董跟我說什麼誰在海底勞賽的故事，那人的屎不停的從防寒衣脖子那裡飄出來，我聽完ptsd導致我現在去潛水前完全都不敢吃東西，只敢早上喝一杯豆漿哈哈哈哈哈哈哈哈哈我整個下午潛水後到傍晚，真的都餓到懷疑自己已經臉頰凹陷哈哈哈哈哈哈哈哈哈欸我最近生活中遇到一些女生，她們一直覺得周遭一票男生喜歡她們，什麼哪個男的一直找她，她還很為難的要擋。但我仔細一聽，幹，客戶催檔案而已！！！！不要誤會客戶！！！客戶有夠倒楣！！！！！這些花痴真的不能去潛水因為潛水教練在水底多次牽著我的手，超級關心我哎呀是不是愛上我啊～你娘勒才不是，教練只是怕我被洋流沖走死掉他們會倒楣好嗎！！！！（推52龍洞，非常照顧學員）,"3,055",34則留言
丹妮婊姐星球,2023年4月13日,坦白說我從來不知道我podcast收視，但我走到哪很多人都跟我說它們洗澡/通勤會聽，那我只好當作他收視很好可能跟歐普拉秀一樣哈哈哈哈哈哈哈，那我想今天的地球永續小話題就靠你們留言了嗚嗚嗚嗚嗚~ 幾年前去夏威夷long stay時，一個客兄約會約我去浮潛，我想說喔喔好啊，反正我重裝潛水執照都有考到了，浮潛小事啦~看一下就上岸喝一杯蔚藍海岸。 結果殊不知，幹，我誤參加鐵人三項啊，我完全錯估!!因為老外的outdoor咖，他們從事的outdoor都是真的徹底來真的，so我們去浮潛不是岸邊踢踢水看海星，是泳渡日月潭的方式，游到離岸邊有夠遠，我邊游邊罵真心要斷氣，回頭一看，靠，岸上的人跟米一樣小!!!我想說媽的他是不是要把我在海中幹掉!?但哪個交友上認識的人要這麼大費周章幹掉網友啦!!!! 客兄在海中指一個方向，我很不爽一看，天啊~~~~~~~~~~~~~~~~~~~~是海龜~~~~~~~~~~~~本龜~~~~~~~~~~~~~~~他超優哉地在那吃海草(咀嚼的聲音還聽的到) 我幾乎忘記了呼吸，這一切，太美了，游這麼遠，那遍海底風景真的就是海底總動員~~~~~~~~~天啊原來是風景在這!不是網友要暗沙我!!! 那一幕我Dory本人至今永生難忘，烙印在我腦子裏面，都市小土包見到地球的原始美。 後來我開始主持了我的podcast，我每周都播報國際新聞，導致我非常猛烈的一直都在看國際新聞，氣候變遷真的非常嚴重，在世界各地造成很大的傷害，我也是因為這一年播新聞，才真正了解到，地球真的發火了。但永續環保這議題還是~並非熱門啦!!!!(我就從很認真垃圾分類，除濕機的水沖馬桶等等這種小事開始) 很少有美妝品牌願意注重地球永續這樣的議題!!!因為這議題賺不了錢啊哈哈哈哈哈阿! 但天啊~這一次我的愛牌蜜葳Melvita 40周年的重要里程碑，這牌子超注重有機，所以對於地球永續循環更是無比在乎，以實際行動參與協助世界自然基金會（WWF）法國所主導的海龜保育行動!!一起協助拯救可愛的Nemo朋友們~~~~~~~~~~~ 但我也不想攏統的說拯救海龜，還是用點篇幅小小解釋一下到底在幹嘛~ 人類捕魚用的刺網，會讓欖蠵龜可有能發生不小心被魚網困住的狀況。 世界自然基金會（WWF）與當地漁夫們就想辦法當好朋友，雙方基於生態保育的共識，在漁夫的捕魚區和欖蠵龜活動的海灘達成協議，商議放置「海龜逃脫裝置（TED）或是改使用拖網來進行。所以能夠既保育珍貴的欖蠵龜，同時不影響漁夫捕漁擋人賺錢財路。 而另一種赤蠵龜在過去的 50 年裡，族群數量減少了 80%，已被國際自然保護聯盟（IUCN）列為重點瀕臨絶跡的物種。 世界自然基金會 WWF 自 2016 年起更在列為專門保護區的其中一處展開保育計劃。大概是這樣~ Melvita邀請到同樣關注社會脈動的美國知名插畫家 Lisa Congdon，除了人生摯愛堅果油，還有玫瑰美容液、堅果霜，3款都換上海龜插畫新包裝 ~很可愛!!!嗚嗚嗚嗚他們真的本人很可愛，保養時看到他們心情很好，超平和的動物!如果你也是在乎這議題的環保小尖兵，選擇有機保養亦是支持永續愛地球一種方式喔!!我私人影片多次提到它們產品都不是業配。 40週年整個大佛心，讓更多人認識Melvita，暢銷3款經典67折就能買到，全都是海龜包裝!!! 另外再送100%廢棄回收塑膠做成(其中還有Melvita的回收瓶蓋)海龜萬用杯墊，跟植物纖維環保材質的海龜收納包，全台限量賣完就沒了！官網買 https://bit.ly/3MDWUAE Momo買 https://bit.ly/41l04xl,"3,355",73則留言
丹妮婊姐星球,2023年5月9日,"那天看到一則新聞，在探討台灣觀光為何沒辦法吸引很多外國人來，下面幾千個留言大罵各種理由。很多人大罵到處都醜，看了我很難過，畢竟我很愛自己的家鄉~ 但我實在無法護航!!!!舉例來說，吉祥物設計，真的都比照日本動漫裡面的怪物去發想嗎哈哈哈哈哈哈阿，很多很適合放到火影忍者還是一拳超人當怪物哈哈哈哈哈哈哈哈，真的每看一次都覺得，不放到日本動漫當怪物太可惜! 不過有人說到:台灣食物沒有具體特色，像是壽司這種很日本，很具體吸引老外。 這點我就不認同了，就算再怎樣其他都先不計算，台灣的手搖飲絕對是傲視全球，台灣的紙鈔上面根本該印一杯珍珠奶茶好嗎不是小朋友看地球哈阿哈哈哈哈哈!  全世界只有台灣人能發明出這些花花世界的飲料!!!!只是需要更加拓展到國際是沒錯， 每次我人長時間在國外，都日夜想著~好想喝台灣手搖飲喔~~~~~~~~~~~~~~~~~~~~~~~ 一周四杯五桐號的me絕對是五桐號地下股東!(如果看綜口味可以數看看我們到底喝幾次哈哈哈哈) 要是我以後定居國外，我可能直接在我家隔壁加盟一間哈哈哈哈哈哈! 今年夏天五桐號又出新品啦!!!無敵少女的蜜桃系列 【蜜桃果粒冰沙】 超罕見的蜜桃冰沙裡面還有蜜桃果丁!!以前我只有在一家咖啡廳有喝過，但五桐號的更強，下面還有我很愛的手工綠茶凍阿~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 滿滿的蜜桃香氣，真的就是曖昧時期的滋味有夠美好，而且每一口都有吃的到蜜桃果丁，咬下去都有果肉的汁超爽，但這樣喝久了也是會boring，下面就給你來它們的手工綠茶凍!!!!!茶香配蜜桃真的就是曖昧之間的電流交會，超級好喝我的老天!!!! 果香跟茶香會同時留在喉嚨，心情不好枯燥的一天來一杯，絕對可以快樂撐完今天的工作或是上課哈哈哈哈哈哈哈阿! 【蜜桃冰茶凍飲】 如果不喜歡冰沙的，這款是蜜桃味跟茶香的清爽茶飲!!!!我跟你說蜜桃味的茶在一家高級咖啡店裡面有，比較貴沒有料~ 但這款裡面有手作綠茶凍跟蜜桃果丁!!!!!!每喝一口都是茶香蜜桃香一起跳舞~~~~~ 就咬咬咬心情就會很好! 【最完美楊枝甘露】  我夏天超愛的楊枝甘露回歸啦!!!!(愛到完全忘記蜜桃是新品主打欸，首圖直接喝成楊枝甘露............因為喝著喝著直接忘記換杯拍哈哈哈哈哈哈) 嚴選愛文芒果製成綿密冰沙與芒果丁,芒果控一定會愛，但這樣不夠 還添加葡萄柚果肉和椰漿，有夠有層次 最後融入五桐號招牌杏仁凍  層次滿滿絕對爽歪，就是一杯完美的聖代感冰沙!!!! 酸甜果肉及完全沒有化學杏仁怪味的 Q 彈杏仁凍超流淚~~~~~~~~~ 但是喝完就是會吃不下飯啦哈哈哈哈!飽到天靈蓋 【芒果雲朵奶霜】  也是愛文芒果冰沙，配上手工綠茶凍鋪底，最後淋上綿密鮮乳奶霜，反正也是邪惡的一杯，幸福感滿滿，喜歡芒果的就是兩杯都買然後跟朋友一人喝一半! 最近又跟韓國DINOTAENG聯名，限定杯子喔有夠可愛!!! 門市購買 2 杯大杯蜜桃系列新品送造型便利貼(數量有限送完為止) 單筆消費滿 $100 即可加購限量聯名商品(數量有限售完為止) #五桐號 #wootea #夏日系列","5,766",166則留言
丹妮婊姐星球,2023年5月14日,如果你老是試車後對方不交往的這集試著看看吧（遞手帕）,111,5則留言
丹妮婊姐星球,2023年9月14日,半年前瑪莉珍開始流行，很多大品牌甚至精品也出，我就買了一雙，結果血流成河，前面磨爛後面也磨爛，我就上Ann'S網站逛，就沒有出我想要的款，我就問老闆娘何時會出瑪莉珍鞋啦!結果他說喔喔那我們做給你啦! 所以就這樣又聯名了，這居然是第四次哈哈哈哈哈哈哈哈哈 一貫秉持著我對鞋子舒服度的極高要求，因為我的膝蓋開刀過，一穿到不行的鞋子就要去復健很煩，因為我復健地方神遠，我住汐止，那醫生在板橋。 這次一共聯名了四款 顏色很多 ~~~ ○圓頭娃娃厚底瑪莉珍 (備註:可以去迪士尼一天) 超多人很愛問我可不可以穿去迪士尼，這變成一個什麼鞋子舒適度的指標? 那既然這樣我只好直接標記~ 這雙好可愛啊阿阿阿阿阿阿阿阿!配一雙襪子真的是 這雙高度6公分但體感趨近平面! 配小洋裝到百褶裙都是絕佳選擇 腳肥的或是要穿襪子的一ˊ定要拿大一號喔!!! ○芭比防水台瑪莉珍(不要穿去迪士尼，除非你是日本長大!!!!!) 這雙高度雖然高達9.5公分，但體感大概砍半喔!!!(但有2公分防水台 這高度市面上滿少的 阿阿阿阿阿阿 這雙超級氣勢但同時又有點小蘿莉!!!這高度的鞋子通常只能出席一個活動，然後就要帶拖鞋去換，但Anns的鞋子你放心，我真的都不用帶拖鞋了!!!!! 這雙版型正常，但腳肥的或是要穿襪子的一ˊ定要拿大一號喔!!! ○買一雙等於買兩雙的紳士鞋!(可以迪士尼) 紳士鞋市面上很多~不過 這雙前面的那個橫條可以拆下來替換，所以可以變成兩雙不同的鞋子!!!!有多划算 紳士鞋就是隨便亂搭，短褲短裙長褲一概都沒問題，我超愛! 而且這一雙穿起來，滿滿的踩沙發感(你要說踩屎感我也是認同啦!!!) ○奢糜女人特殊跟穆勒(可能可以迪士尼) 這雙我超愛，寬腳板超友善的尖頭鞋喔!!! 他好優雅~~~~我上周蘭蔻活動穿絲質長洋裝就配這雙 上班族被摧殘做報告做到早上三點，七點還要起床趕出門跟客戶開會的，但又不能過邋遢，你的上班套裝長褲或短裙都能配這雙!而且速度超快哈哈哈哈穿了就跑去追捷運!!! 而且根還是多面切角，很有細部的巧思~https://annstar.tw/DannybeeechANNSTAR,883,15則留言
丹妮婊姐星球,2023年4月22日,爛事小日記 我知道有些人在期待我去做有痛胃鏡的爛心得，表弟妹在fb+ig 雙平台一共1000則留言左右恐嚇我有多痛苦，拜託，我如此貪生怕死之徒，看你們留言看到一半，馬上取消大醫院，到處問朋友我能去哪間?鳳姐推薦我一家沒有健保的診所，我馬上立刻打趣預約做無痛的胃鏡哈哈阿哈阿哈哈哈哈阿 過程當然服務很好又舒服完全不害怕，但害怕的是~~付錢的時候哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，因為切除一顆(不是息肉的東西我忘了學名)居然要價20000，我不知道自己到底有沒有哈哈哈哈哈哈哈哈哈哈哈哈!周一內心大喊自己很富有可以做無痛，抱歉，踏進沒有健保的診所，我馬上變窮八蛋哈哈哈哈阿! 總之好險是沒有要切除的，但高額的醫藥費還是讓我在付錢的時候，胃更痛哈哈哈哈哈哈阿哈哈哈哈哈哈哈哈! 因為我胃病入膏肓，有各種爛，所以要治療兩個月，我垂頭喪氣的打回去跟光仲闡述這結果。 我到家的時候，光仲非常貼心的煮好午餐給我，我相當感動，一仔細看，幹，直接綜藝滑倒!!! 你們知道他煮什麼嗎? 辣炒豬肉哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈阿!到底哪來的IDEA給胃痛的人吃辣炒豬!!!!!!!!!!!!!!!他是不是覬覦我的財產!!!!我該不會就這樣上X調查吧，威爾!!!,"5,460",161則留言
丹妮婊姐星球,2023年6月6日,"男友黑豹前陣子來台灣玩，為了要帶美國伴手禮來給家人，真的是苦惱到極點，美國不是日本，日本真的夢遊都能買到伴手禮哈哈哈哈哈，但美國真的是難買伴手禮no1 帝國!!!查了老半天，大家好像都去美國買保健食品，但我妹才剛去美國扛一堆保健食品回來，而且台灣現在跨海訂也很方便啊。 最後走投無路，我媽的部分，我只好說:你就送我媽那個神祕染髮劑。我爸你就送巧克力(結果到現在都沒人吃) 那神秘的美國染髮劑，我之前去美國的時候我老母叫我能扛多少就扛多少，我請黑豹幫我從亞馬遜下訂八盒讓我扛回台灣。我妹日前去美國也是幫秋女跑了五間超市找，只是都沒賣，那染髮劑真心很冷門!!! 黑豹問:那染髮劑到底哪裡厲害，非要從美國買?!而且這樣好嗎好像我在嫌你媽頭髮很白。 我:放心我媽愛爆!!!因為那染髮劑是她朋友介紹她的，因為上面斗大的字寫天然!!我媽跟他朋友們對<天然>二字有著如同對媽祖一般的信仰!! 喔所以當我收到今天乾媽的產品時，我也同時拿給我媽用用看，我媽秋女愛慘，因為這品牌的頭髮產品，有95%以上的天然成分及30%的椰子水，邱女直接變腦粉哈哈哈哈哈哈哈哈哈!她就是熱愛天然的一切!!!所以我跟我媽是同時試用的 今天的乾媽是美國非常非常知名椰子水品牌Vita Coco，推出純天然洗護系列，這真是椰子水品牌霸王，之前代言人是蕾哈娜。我在美國的時候真的會狂喝!!!!!!它賣到後來百事可樂跟可口可樂也趕緊出椰子水哈哈哈哈! 阿他們就椰子霸主，所以就用手上的椰子資源來做髮品，這完全是非常有邏輯的，因為椰子真的是地球上最適合拿來做髮品的植物之一，我植物油的書得知之後就長期買不同品牌的椰子油護髮。 這次試用的是修護洗髮精+染燙受損修護精華+油性抗屑頭皮去角質 ● Vita Coco 修護洗髮精   (洗髮精有出很多不同款，有興趣還是在官網看一下不同款的差異，選自己適合的喔) 適合誰:喜歡成分天然，頭髮染燙受損偏乾的人。 這修護洗髮精，它罐子做的就是它原本椰子水的特殊罐裝形狀有夠可愛!!! 椰子水為主打基底的成分，讓頭髮保濕補水，所以這系列產品全部味道都~爆幹好吃!!!!完全邊洗邊覺得好像在吃甜點!!!!!好想吃自己的頭髮!!! 我媽自然捲一頭乾躁亂髮洗完後有比較滑嫩好梳，重點是因為天然成份比重超高，她就覺得用起來很安心。 我是整頭洗完頭頂沒有油膩，我髮尾偏受損，也是覺得比較好梳理。但他畢竟不是控油~是主打修護，台灣夏天太熱，如果你頭皮爆幹油但頭髮很爛，這罐是很適合洗頭髮偏乾的受損髮!但冬天可以整頭洗(尤其頭皮偏乾的人也滿適合) 但頭頂就要分區洗控油的!!!我洗頭很愛頭頂跟頭髮用兩種洗髮精，因為頭頂怕出油，但我 髮質又爛，用椰子水霸王Vita Coco這罐專為染燙髮設計的修護洗髮精，染燙後最乾、最爛、最容易斷髮的中尾段直接ㄧ 飲而盡天然椰子水順不糾結、好梳理，蕾哈娜光環!! ● Vita Coco 油性抗屑頭皮去角質 如果你頭頂很油或有頭皮屑困擾，你會很愛這罐!!我很愛這罐!!! 這種質地的有一個很有名的品牌C開頭，它非常之貴，價錢是這的5倍吧，再來是很多人會覺得洗完頭頂真的乾到像10年沒下雨的大地 但 Vita Coco價錢只要它五分之一，然後用完後非常滑順不澀，又把頭皮洗的超乾淨，是的是平替不澀版的C!!夏天超適合，油頭皮扁扁頭或帶安全帽的一定要試試看!!!!頭皮洗的超乾淨頭頂很清爽!!!!!! 不分性別皆可使用!!!!!! 雖然Vita Coco這瓶抗屑去角質，是為了潔淨、舒緩頭皮而設計，難怪一票好萊塢女星會愛上椰子水霸王Vita Coco!天然植萃的奧妙就在這，(最奧妙的是瑪丹娜跟馬修麥康納還是股東) 椰子水基底 + 番石榴萃取 : 深層淨化 胡桃殼去角質顆粒 + 椰子油 : 天然抗屑，去除堆積老廢角質和皮屑 含法定有效抗屑成分 : Piroctone olamine 吡羅克酮乙醇胺鹽 不含矽靈、色素、石化礦物油、Parabens防腐劑 ● Vita Coco 染燙受損修護精華 這罐真的是好怕用完不自覺把頭髮吃了，因為真的有夠椰子味好好吃!是偏精華的清爽感精華 一樣椰子水基底 - 保濕補水，強韌髮絲，避免毛躁斷髮 椰子油 - 含豐富維他命E、K和鐵質，重建受損髮，讓髮絲柔順有光澤 它偏清爽的精華狀喔，給很討厭用油的人我覺得很適合，適合一般到小乾的頭髮，就用最天然的椰子成分去修護。 重點是免沖洗!!這對每天超忙趴趴走、休息只想廢在家的人來說根本救星，一抹就有水亮光秀髮，在外出席活動、拍攝不""乾""尬，回家又可爽爽養髮不用又塗又沖累得半死 全系列是環保瓶身包裝，使用至少75%的回收塑膠製作，不只是好萊塢女星愛牌，純天然成分、不做動物實驗Vegan也可放心使用喔!超加分!!!! 婊姐獨家組合只要$750 再送#invisibobble經典魔髮圈透明 1盒 點這挑選椰子界霸王牌洗護系列 https://bit.ly/3wR4Vt7 VitaCoco髮品系列由 PHSHOP平珩家獨家總代理 #VitaCoco #椰子水洗髮精 #純天然洗護髮品 #給頭髮喝的椰子水 #不含矽靈 #不做動物實驗 #素食者可用 #Vegan #霸王椰子品牌 #跟天然光澤髮說椰絲YES #PHSHOP #PH平珩家 #台灣總代理","2,041",90則留言
丹妮婊姐星球,2023年3月10日,自己揭開黑歷史照，（以防萬一以後被別人起底哈哈哈哈哈哈哈）唉呦威這隻影片可以鎖男友不要讓他看到嗎！！！！有這功能嗎？我以前真的醜到助理跟寶光哥一直驚呼，完全不顧他們是領我薪水的人哈哈哈哈哈哈哈只要好好保養，有點預算醫美並行（我沒動刀），也可以換一張臉哈哈哈哈哈，跟我一起倒著活本集乾媽HR黑繃帶乳霜真的自己非業配影片也講過超多次非常好用！（他需要提什麼？）啊~~還是要來幫大家重點整理一下如果你真的想要追求全方位的抗老跟修護或是你醫美術後想要快速恢復的話靠著黑繃帶30%的普拉斯鏈你可以感受到他非常強大的威力雖然貴 但完全對的起他的價格真的是我心目中零缺點的抗老修護乳霜!!現在乾媽來寵粉再加碼了現在只要到赫蓮娜櫃上購買黑繃帶修護乳霜或是玻尿酸抗皺緊緻精華 (任一正貨產品，含特惠組)，結帳時再出示我的貼文截圖，就會再多送玻尿酸抗皺緊緻精華5ml!加碼活動還可以與母檔預購會活動並行，先幫大家總整理赫蓮娜母檔預購會活動：1. 事先報名繳預約金送奢寵預訂禮2. 會員再送專屬出席禮3. 五大明星品項加碼贈寵粉截圖購買送小針管5ml 活動只到2023/4/6，每個人就1次機會，每櫃只有限量30組!先買先贏!快來一起體驗零缺點乳霜：http://bit.ly/3KUk3y2 Helena Rubinstein 赫蓮娜 #HR赫蓮娜 #黑繃帶乳霜 #分秒緊膚 #抗老緊緻 #繃出年輕肌 #輪廓線,"2,663",132則留言
丹妮婊姐星球,2023年6月13日,婊姐必請 EP183｜宅男女神來啦（完全我的受眾對角線）藝人公開戀情就準備掉粉？他靠這些招數成功追到宅男女神！ feat.解婕翎、6tan 感恩理科太太的新品牌  #intress盈翠絲 讓本節目可以繼續存活~~~~ 我在上市前就開始用眉毛精華液，我眉毛原本有一塊離家出走，擦兩周後就大回歸!!!!比他官方宣布的時間還早，超強!!!! 他的睫毛精華也爆幹好用，因為別的品牌只要有用的都會有黑眼很像毒犯，但他盈翠絲不會有這副作用超強的~~~~~~~~~~ 即日起到 6/21 23:59 止，下單 intress 盈翠絲 濃眉精華液享最便宜一入只要 NT$680 ，輸入 折扣碼再折50元，讓這次的豐盈感不再是錯覺！ 專屬折扣碼：danny50 intress 限定濃眉精華液 購買連結：https://bit.ly/3ISiMFL 【折扣碼使用注意事項】 單筆訂單僅可使用一組折扣碼，不可與其他優惠折扣碼一起合併使用。 收聽方式放留言,463,27則留言
